position,name,team,level,league,nationality,dob,age,overall,potential,salary,years_left,contract_value,total_years
RP,Adrian Rotari,Washington,MLB,MLB,MDA,10/07/2039,28,3.5,3.5,600000.0,0,600000.0,1
SS,Jon Smith,Houston,MLB,MLB,USA,01/11/2039,29,3.0,3.0,600000.0,0,600000.0,1
RP,Aarón Sousa,Albuquerque,MLB,MLB,MEX,07/05/2038,29,2.5,3.0,600000.0,0,600000.0,1
2B,Zach Vann,Austin,MLB,MLB,USA,08/03/2039,28,3.5,3.5,600000.0,0,600000.0,1
RP,Saadna Moussa,Toronto,MLB,MLB,MTN,11/09/2035,32,3.5,3.5,590000.0,4,2950000.0,5
SP,Jeff Williams,Seattle,MLB,MLB,USA,06/19/2039,28,2.5,3.5,590000.0,0,590000.0,1
RP,Dariel Ayala,Omaha,MLB,MLB,PUR,04/04/2036,31,2.5,2.5,580000.0,1,580000.0,1
RP,Seydou Niang,Chicago,MLB,MLB,GAM,06/12/2036,31,3.0,3.0,580000.0,3,2320000.0,4
RP,Marco Oliveras,Colorado,MLB,MLB,USA,05/19/2037,30,2.5,2.5,580000.0,0,580000.0,1
LF,Jon Prevost Jr.,St. Louis,MLB,MLB,CAN,02/05/2034,33,2.5,2.5,580000.0,1,580000.0,1
LF,Ericson Pérez,Los Angeles,MLB,MLB,MEX,05/26/2037,30,3.0,3.0,580000.0,1,580000.0,1
3B,Vicente Rosado,Milwaukee,MLB,MLB,PUR,02/16/2037,30,2.5,2.5,580000.0,0,580000.0,1
RF,Brian Shaw,Salt Lake,MLB,MLB,USA,09/16/2045,22,1.5,3.0,572000.0,2,1716000.0,3
SS,Eddie Troughton,Oakland,MLB,MLB,USA,03/09/2044,23,1.5,3.5,572000.0,2,1716000.0,3
LF,Jim Keebler,Seattle,MLB,MLB,USA,11/10/2034,33,2.5,2.5,570000.0,2,2556000.0,5
RP,Jayden O'Neal,Boston,MLB,MLB,USA,04/04/2035,32,2.5,2.5,570000.0,0,570000.0,1
LF,Billy Casao,Toronto,MLB,MLB,USA,11/18/2041,26,3.0,4.5,560000.0,0,560000.0,1
RP,Joshua Nelson,Detroit,MLB,MLB,USA,03/03/2039,28,3.0,4.0,560000.0,0,560000.0,1
RP,Marquino Posados,Portland,MLB,MLB,PUR,03/25/2038,29,4.0,4.0,560000.0,0,560000.0,1
CL,Steve Whittle,Houston,MLB,MLB,USA,03/19/2040,27,4.5,4.5,560000.0,0,560000.0,1
RP,Fahad Al-Amadi,Arizona,MLB,MLB,USA,03/26/2040,27,2.5,3.0,550000.0,0,550000.0,1
CF,Santiago Azucena,Toronto,MLB,MLB,MEX,06/15/2039,28,3.0,3.0,550000.0,0,550000.0,1
RP,Felix Barreto,Montreal,MLB,MLB,CUB,01/30/2033,35,2.5,2.5,550000.0,0,550000.0,1
RP,Islay Brummer,Tampa Bay,MLB,MLB,USA,04/08/2039,28,4.0,4.5,550000.0,0,550000.0,1
RP,Christian Cachora,Detroit,MLB,MLB,USA,07/21/2037,30,3.0,3.0,550000.0,0,550000.0,1
C,Damiano Coniglio,San Diego,MLB,MLB,USA,04/03/2037,30,3.0,3.0,550000.0,2,1100000.0,2
SP,Gavin Cox,Salt Lake,MLB,MLB,USA,05/14/2039,28,3.0,3.0,550000.0,0,550000.0,1
SP,Morton Duff,San Diego,MLB,MLB,USA,12/21/2041,26,2.5,2.5,550000.0,0,550000.0,1
SP,Daniel Fogle,Oakland,MLB,MLB,USA,03/11/2038,29,2.5,2.5,550000.0,0,550000.0,1
RF,Ray Glass,Atlanta,MLB,MLB,USA,02/28/2039,28,2.5,3.0,550000.0,0,550000.0,1
LF,Diego Jaén,Chicago,MLB,MLB,MEX,02/19/2038,29,2.5,2.5,550000.0,0,550000.0,1
RP,Archimedeo Juanola,New York,MLB,MLB,PUR,09/16/2040,27,3.0,3.0,550000.0,0,550000.0,1
LF,Hector Matorga,Salt Lake,MLB,MLB,PUR,07/20/2039,28,3.5,3.5,550000.0,0,550000.0,1
SP,Leo McQueen,Salt Lake,MLB,MLB,USA,05/14/2039,28,2.5,3.0,550000.0,0,550000.0,1
RP,Bert Montes,Los Angeles,MLB,MLB,PUR,03/13/2039,28,2.5,3.5,550000.0,0,550000.0,1
RP,Ben Mustain,Colorado,MLB,MLB,USA,09/14/2038,29,3.0,3.0,550000.0,0,550000.0,1
CF,Mitchell Sawyer,Seattle,MLB,MLB,USA,01/10/2038,30,2.5,2.5,550000.0,0,550000.0,1
SP,Orlando Schultz,Houston,MLB,MLB,USA,06/23/2039,28,3.5,3.5,550000.0,3,3042000.0,4
3B,Mike Stack,Seattle,MLB,MLB,USA,05/21/2039,28,2.5,3.0,550000.0,0,550000.0,1
RF,Princeton Stroud,Atlanta,MLB,MLB,USA,06/19/2038,29,2.5,2.5,550000.0,0,550000.0,1
RP,Clint Trejo,Los Angeles,MLB,MLB,PUR,11/13/2038,29,2.5,2.5,550000.0,0,550000.0,1
C,Kane Van Sickle,Portland,MLB,MLB,AUS,01/13/2038,30,2.5,2.5,550000.0,0,550000.0,1
RF,Shaky Languell,Oakland,MLB,MLB,USA,05/21/2036,31,3.5,3.5,540000.0,1,540000.0,1
RP,Manuel López,Houston,MLB,MLB,CUB,06/11/2033,34,3.5,3.5,540000.0,2,1080000.0,2
RP,Jordan Babos,Detroit,MLB,MLB,USA,12/29/2041,26,3.0,3.5,530000.0,0,530000.0,1
RP,T.J. Briones,Vancouver,MLB,MLB,PUR,03/24/2040,27,3.0,3.5,530000.0,0,530000.0,1
RP,Rory Cretsinger,Omaha,MLB,MLB,USA,09/14/2035,32,2.5,2.5,530000.0,0,530000.0,1
SP,Diafra Darboe,Miami,MLB,MLB,GAM,11/09/2036,31,3.0,3.0,530000.0,2,1590000.0,3
CF,Henri Fortin,Boston,MLB,MLB,CAN,12/20/2035,32,2.5,2.5,530000.0,1,530000.0,1
CL,Aron Harris,Omaha,MLB,MLB,CAN,09/30/2038,29,3.5,3.5,530000.0,0,530000.0,1
RP,Elijah Hebert,Kansas City,MLB,MLB,USA,02/08/2040,27,3.0,3.0,530000.0,0,530000.0,1
2B,Joel Pallanes,Tampa Bay,MLB,MLB,PUR,11/22/2039,28,3.0,3.0,530000.0,0,530000.0,1
CF,Marcelo Reid,Baltimore,MLB,MLB,PUR,12/08/2039,28,4.0,4.0,530000.0,8,15270000.0,8
RF,Thomas Stoker,New Orleans,MLB,MLB,USA,10/10/2038,29,3.0,3.0,530000.0,0,530000.0,1
CF,Gentry Stroud,Kansas City,MLB,MLB,USA,12/19/2037,30,3.0,3.0,530000.0,0,530000.0,1
CL,Declan Weldon,Boise,MLB,MLB,USA,06/05/2042,25,5.0,5.0,530000.0,0,530000.0,1
SP,Ashton William,Albuquerque,MLB,MLB,USA,03/02/2040,27,3.0,3.0,530000.0,0,530000.0,1
RP,Gabriel Zapata,Atlanta,MLB,MLB,PUR,05/23/2038,29,2.5,2.5,530000.0,0,530000.0,1
SP,Johnny Zullo,Boston,MLB,MLB,USA,09/19/2036,31,2.5,2.5,530000.0,2,1856000.0,3
RP,Trajan Lee,Portland,MLB,MLB,USA,01/05/2041,27,3.0,3.0,525000.0,0,525000.0,1
SP,Alfonzo Cardona,Salt Lake,MLB,MLB,PUR,10/26/2038,29,3.0,3.0,520000.0,0,520000.0,1
1B,Jake Moore,Houston,MLB,MLB,USA,06/26/2044,23,1.5,4.0,520000.0,0,1560000.0,3
1B,Rich Remsburg,Omaha,MLB,MLB,USA,05/11/2044,23,1.0,3.5,520000.0,0,1560000.0,3
2B,Daniel Rodriguez,Cincinnati,MLB,MLB,USA,01/19/2044,24,1.5,3.0,520000.0,0,1560000.0,3
1B,Jung-ho Roma,Milwaukee,MLB,MLB,USA,10/29/2043,24,2.0,4.0,520000.0,0,1560000.0,3
2B,Wayne Rupe,Austin,MLB,MLB,USA,12/30/2043,24,1.5,4.0,520000.0,0,1560000.0,3
1B,Luther Silva,Kansas City,MLB,MLB,USA,03/28/2045,22,1.5,3.0,520000.0,0,1560000.0,3
1B,Steve Spradling,San Diego,MLB,MLB,USA,05/24/2045,22,1.5,2.5,520000.0,0,1560000.0,3
1B,Mason Vines,Oakland,MLB,MLB,USA,05/22/2044,23,2.5,4.0,520000.0,0,1560000.0,3
SP,Isdel Almonte,Austin,MLB,MLB,PUR,09/10/2040,27,2.5,3.0,510000.0,0,510000.0,1
SP,Oscar Davies,Baltimore,MLB,MLB,GRB,12/04/2039,28,3.0,3.0,510000.0,5,6750000.0,5
RP,Paul Filipowicz,Toronto,MLB,MLB,USA,01/12/2034,34,2.5,2.5,510000.0,0,510000.0,1
RP,Casey Morales,Tampa Bay,MLB,MLB,PUR,12/12/2038,29,3.0,3.5,510000.0,0,510000.0,1
RP,Rodney Rubio,Montreal,MLB,MLB,USA,01/14/2039,29,2.5,2.5,510000.0,0,510000.0,1
SS,Floriano Saldaña,Miami,MLB,MLB,PUR,04/01/2034,33,3.0,3.0,510000.0,2,1020000.0,2
SP,Bobby Salinas,Detroit,MLB,MLB,PUR,05/03/2039,28,2.5,3.0,510000.0,0,510000.0,1
RP,Jovan Tucker,Carolina,MLB,MLB,USA,10/01/2039,28,3.5,3.5,510000.0,0,510000.0,1
RF,Lenard Valentin,Austin,MLB,MLB,PUR,08/18/2039,28,3.0,3.0,510000.0,0,510000.0,1
RP,Jared Wheelock,Nashville,MLB,MLB,USA,04/16/2038,29,3.0,3.0,510000.0,0,510000.0,1
SS,Willy Hatley,Baltimore,MLB,MLB,USA,05/24/2035,32,2.5,2.5,500000.0,0,500000.0,1
SP,Brent Nelson,Boise,MLB,MLB,USA,01/16/2039,29,3.0,3.0,500000.0,0,500000.0,1
CL,Ricky Richardson,Portland,MLB,MLB,USA,07/03/2038,29,4.5,4.5,500000.0,0,500000.0,1
2B,Brady Borsch,Boise,MLB,MLB,USA,10/27/2038,29,3.0,3.0,484000.0,0,484000.0,1
RP,Steve Caldwell,Vancouver,MLB,MLB,USA,08/26/2039,28,4.0,4.0,484000.0,0,484000.0,1
CL,Arthur Capik,Atlanta,MLB,MLB,USA,09/16/2038,29,3.0,3.0,484000.0,0,484000.0,1
RP,Olivier Chicoine,Washington,MLB,MLB,CAN,08/18/2033,34,2.5,2.5,484000.0,0,484000.0,1
2B,Hector Collaro,Atlanta,MLB,MLB,PUR,11/27/2036,31,3.0,3.0,484000.0,0,484000.0,1
SP,Henry Currier,Atlanta,MLB,MLB,USA,03/27/2039,28,2.5,2.5,484000.0,0,484000.0,1
1B,Alexander Gunning,Colorado,MLB,MLB,USA,11/09/2037,30,2.5,2.5,484000.0,0,484000.0,1
2B,Pete Harrison,Toronto,MLB,MLB,USA,12/10/2041,26,3.0,4.5,484000.0,0,484000.0,1
3B,David Kyles,Cleveland,MLB,MLB,USA,11/08/2043,24,1.5,3.0,484000.0,0,484000.0,1
SP,Elijah Morris,Los Angeles,MLB,MLB,USA,01/01/2042,26,3.0,3.5,484000.0,4,3964000.0,4
RP,Burke Richardson,Oakland,MLB,MLB,USA,04/30/2039,28,2.5,3.0,484000.0,0,484000.0,1
RP,Mario Santos,Vancouver,MLB,MLB,PUR,07/27/2043,24,2.0,5.0,484000.0,0,484000.0,1
RF,Dominic Victory,New York,MLB,MLB,USA,08/23/2040,27,3.0,3.5,484000.0,0,484000.0,1
RF,Chez McNair,Austin,MLB,MLB,USA,11/03/2036,31,2.5,2.5,476000.0,0,476000.0,1
RP,Montez Weary,New York,MLB,MLB,USA,02/28/2039,28,3.0,3.0,472000.0,0,472000.0,1
RP,Jimeno Avila,Omaha,MLB,MLB,PUR,11/25/2033,34,2.5,2.5,464000.0,0,464000.0,1
C,Hugo Boisvert,New Orleans,MLB,MLB,CAN,09/03/2038,29,2.5,3.0,464000.0,0,464000.0,1
1B,Matias Caballero,Atlanta,MLB,MLB,PUR,10/26/2040,27,2.5,3.0,464000.0,0,464000.0,1
RP,B.J. Clunan,Oakland,MLB,MLB,USA,05/22/2039,28,3.0,3.0,464000.0,0,464000.0,1
RP,Schuyler Ducote,Washington,MLB,MLB,USA,10/13/2028,39,3.0,3.0,464000.0,1,928000.0,2
1B,Tarik Frazier,St. Louis,MLB,MLB,USA,11/05/2040,27,2.5,3.5,464000.0,0,464000.0,1
C,Maxwell Leonard,Los Angeles,MLB,MLB,USA,08/22/2039,28,2.5,3.0,464000.0,0,464000.0,1
LF,Ryan May,Cleveland,MLB,MLB,USA,09/17/2039,28,3.0,3.0,464000.0,0,464000.0,1
1B,Dave Ninomiya,Baltimore,MLB,MLB,USA,12/08/2038,29,3.0,3.5,464000.0,0,464000.0,1
SP,Faro Perez,Boston,MLB,MLB,PUR,11/06/2039,28,3.0,4.0,464000.0,5,5654000.0,5
RP,Reading Rogers,New Orleans,MLB,MLB,USA,11/25/2038,29,2.5,3.0,464000.0,0,464000.0,1
RP,Jason Seepaul,Kansas City,MLB,MLB,USA,08/06/2037,30,2.5,2.5,464000.0,0,464000.0,1
C,Caleb Smith,Seattle,MLB,MLB,USA,04/20/2042,25,3.0,3.5,464000.0,0,464000.0,1
1B,Bennett Terry,Arizona,MLB,MLB,USA,07/27/2040,27,2.5,3.0,464000.0,0,464000.0,1
RP,Atl Tlalolin,Colorado,MLB,MLB,MEX,04/08/2039,28,2.5,3.0,464000.0,0,464000.0,1
RP,Leo Wade,Montreal,MLB,MLB,USA,04/27/2038,29,2.5,2.5,464000.0,0,464000.0,1
RF,John Williams,Minnesota,MLB,MLB,USA,07/16/2040,27,2.5,3.0,464000.0,0,464000.0,1
RP,Marvin Fitzgerald,Austin,MLB,MLB,USA,09/25/2039,28,2.5,2.5,460000.0,0,460000.0,1
RP,Kato Hunt,Omaha,MLB,MLB,USA,01/29/2033,35,2.0,2.0,460000.0,0,460000.0,1
C,Ronald Moore,Chicago,MLB,MLB,USA,05/19/2038,29,3.0,3.0,460000.0,0,460000.0,1
RP,Jeffrey Morency,Nashville,MLB,MLB,CAN,04/06/2039,28,3.0,3.0,460000.0,0,460000.0,1
2B,Gavino Orona,Milwaukee,MLB,MLB,USA,09/10/2038,29,2.5,3.0,460000.0,0,460000.0,1
RP,Oscar Sandoval,Toronto,MLB,MLB,CUB,11/11/2035,32,4.0,4.0,460000.0,0,896000.0,2
2B,Daniel Torres,Cincinnati,MLB,MLB,USA,10/25/2039,28,2.5,2.5,460000.0,0,460000.0,1
LF,Diego Santillana,San Francisco,MLB,MLB,USA,07/22/2032,35,3.0,3.0,452000.0,1,452000.0,1
RP,Aaric Thompson,San Francisco,MLB,MLB,USA,06/06/2035,32,2.5,2.5,452000.0,1,452000.0,1
CL,Alexander Bacon,New York,MLB,MLB,USA,06/20/2039,28,3.5,4.0,444000.0,0,444000.0,1
SS,Mathéo Bilodeau,Kansas City,MLB,MLB,CAN,10/30/2039,28,2.5,3.0,444000.0,0,444000.0,1
RP,Declan Rosales,Oakland,MLB,MLB,USA,09/02/2034,33,2.0,2.0,444000.0,0,444000.0,1
RF,Santiago Acosta,Portland,MLB,MLB,MEX,10/16/2039,28,3.0,3.5,440000.0,0,440000.0,1
SP,Jack Adair,Arizona,MLB,MLB,USA,01/20/2042,26,3.0,3.5,440000.0,5,4600000.0,5
LF,Dylan Akimoto,Salt Lake,MLB,MLB,CAN,01/29/2039,29,2.5,2.5,440000.0,0,440000.0,1
CF,Felicio Fernández,St. Louis,MLB,MLB,PUR,10/29/2041,26,3.0,3.0,440000.0,0,440000.0,1
2B,Pablo Guevara,Seattle,MLB,MLB,PUR,11/17/2042,25,1.5,4.0,440000.0,0,440000.0,1
LF,Wayne Herman,New York,MLB,MLB,USA,12/22/2038,29,2.5,3.0,440000.0,0,440000.0,1
2B,Oscar Hosier,San Francisco,MLB,MLB,USA,09/08/2038,29,2.5,3.0,440000.0,0,440000.0,1
LF,Silvester Marín,Boston,MLB,MLB,PUR,02/07/2042,25,1.5,3.0,440000.0,0,440000.0,1
LF,Jackson Olivar,Kansas City,MLB,MLB,USA,08/21/2041,26,2.5,3.0,440000.0,0,440000.0,1
RF,Reggie Selinsky,Los Angeles,MLB,MLB,USA,06/24/2039,28,2.5,2.5,440000.0,0,440000.0,1
1B,Derick Wilson,Cleveland,MLB,MLB,USA,08/01/2042,25,1.5,3.0,440000.0,0,440000.0,1
SP,Mutassim Charef,San Diego,MLB,MLB,MAR,12/15/2033,34,2.5,2.5,428000.0,0,856000.0,2
C,Ethan Salsman,Philadelphia,MLB,MLB,USA,12/30/2038,29,3.0,3.0,428000.0,0,428000.0,1
RP,Freddie Slifer,Cincinnati,MLB,MLB,USA,12/13/2041,26,2.0,3.5,428000.0,0,428000.0,1
2B,Anselmo Cruz,Kansas City,MLB,MLB,CUB,12/31/2040,27,2.5,2.5,400000.0,0,400000.0,1
1B,Maximiliano Marquez,Salt Lake,MLB,MLB,PUR,05/23/2039,28,3.0,3.5,400000.0,0,400000.0,1
2B,Van Fox,Carolina,MLB,MLB,USA,06/08/2038,29,2.5,2.5,392000.0,0,392000.0,1
RP,Kody Stratton,Nashville,MLB,MLB,USA,09/20/2036,31,3.0,3.0,384000.0,0,744000.0,2
3B,Hector Melesio,San Diego,MLB,MLB,CUB,07/08/2041,26,2.5,2.5,376000.0,0,376000.0,1
RP,Vince Turner,Minnesota,MLB,MLB,USA,10/03/2035,32,2.0,2.0,376000.0,0,376000.0,1
CF,Jerome Lemus,Montreal,MLB,MLB,PUR,06/30/2037,30,3.0,3.0,364000.0,2,1072000.0,3
RP,Dennis Zanotti,Los Angeles,MLB,MLB,VEN,09/27/2043,24,2.5,4.0,356000.0,0,356000.0,1
CL,A.J. López,Arizona,MLB,MLB,PUR,02/09/2038,29,3.0,3.5,352000.0,0,352000.0,1
C,Diego Aponte,Milwaukee,MLB,MLB,PUR,08/09/2037,30,3.0,3.0,328000.0,0,328000.0,1
2B,Mayow Abdi,Montreal,MLB,MLB,RSL,05/10/2046,21,1.5,3.0,284000.0,0,284000.0,1
RP,Youssef Abdurahman,Carolina,MLB,MLB,QAT,02/05/2042,25,1.5,3.5,284000.0,0,284000.0,1
RP,Noah Abernethy,Salt Lake,MLB,MLB,USA,02/13/2041,26,2.5,3.5,284000.0,0,284000.0,1
SS,Mahmud Acheampong,Detroit,MLB,MLB,GHA,10/16/2036,31,2.0,2.0,284000.0,0,284000.0,1
3B,Jay Adcock,San Diego,MLB,MLB,USA,02/16/2044,23,2.5,3.0,284000.0,0,284000.0,1
LF,Ethan Agdamag,Cincinnati,MLB,MLB,PHI,12/07/2042,25,2.5,4.5,284000.0,0,284000.0,1
SS,Oro Agosto,Minnesota,MLB,MLB,PUR,07/03/2043,24,2.5,3.5,284000.0,0,284000.0,1
SS,Rat Aguilar,San Francisco,MLB,MLB,USA,09/30/2041,26,3.0,3.0,284000.0,0,284000.0,1
CL,Marcello Aguirre,Oakland,MLB,MLB,USA,03/06/2040,27,3.5,4.5,284000.0,0,284000.0,1
RP,Jamison Alameda,Oakland,MLB,MLB,PUR,05/11/2044,23,2.5,4.5,284000.0,0,284000.0,1
RP,Adrián Alamillo,Baltimore,MLB,MLB,PUR,12/05/2041,26,3.0,3.0,284000.0,0,284000.0,1
CF,Rogerio Alcaraz,Washington,MLB,MLB,USA,08/17/2043,24,2.5,3.0,284000.0,0,284000.0,1
RP,Ryan Alexander,Carolina,MLB,MLB,USA,12/22/2042,25,2.0,3.0,284000.0,0,284000.0,1
RP,Khalifan Ali Tuur,Tampa Bay,MLB,MLB,RSL,02/25/2037,30,2.5,2.5,284000.0,0,284000.0,1
RP,Zach Allen,Houston,MLB,MLB,USA,01/21/2040,28,3.0,3.5,284000.0,0,284000.0,1
CF,Richard Alonzo,Minnesota,MLB,MLB,USA,08/07/2042,25,2.5,3.0,284000.0,0,284000.0,1
LF,J.D. Alvarado,Seattle,MLB,MLB,USA,09/24/2042,25,4.0,5.0,284000.0,0,284000.0,1
1B,Veto Alverio,Kansas City,MLB,MLB,PUR,11/30/2043,24,1.5,3.0,284000.0,0,284000.0,1
2B,Felix Amazonas,Seattle,MLB,MLB,PUR,09/10/2041,26,3.0,3.0,284000.0,0,284000.0,1
1B,Gombal Aparicio,Boise,MLB,MLB,USA,04/08/2043,24,2.5,2.5,284000.0,0,284000.0,1
RF,Mathew Aquilar,Salt Lake,MLB,MLB,USA,09/14/2042,25,2.5,2.5,284000.0,0,284000.0,1
RP,Willy Arango,Salt Lake,MLB,MLB,PUR,05/18/2043,24,2.0,3.0,284000.0,0,284000.0,1
C,P.J. Arceo,Miami,MLB,MLB,USA,09/20/2041,26,2.5,3.0,284000.0,0,284000.0,1
RP,Tyreek Archibald,Arizona,MLB,MLB,USA,11/11/2041,26,2.5,3.0,284000.0,0,284000.0,1
RP,Ivan Archuleta,Baltimore,MLB,MLB,USA,03/09/2043,24,2.5,3.0,284000.0,0,284000.0,1
RP,Lief Arnold,Baltimore,MLB,MLB,USA,06/20/2040,27,2.5,2.5,284000.0,0,284000.0,1
CL,Matthew Arnold,Colorado,MLB,MLB,USA,09/13/2039,28,4.0,4.0,284000.0,0,284000.0,1
RP,Abél Arvelo,Carolina,MLB,MLB,PUR,05/06/2043,24,2.5,3.5,284000.0,0,284000.0,1
1B,Erik Arzola,Washington,MLB,MLB,PUR,05/05/2042,25,2.5,2.5,284000.0,0,284000.0,1
CF,Riley Ashcraft,Nashville,MLB,MLB,USA,04/29/2040,27,2.5,2.5,284000.0,0,284000.0,1
RF,Zach Atkins,Cleveland,MLB,MLB,USA,05/20/2043,24,2.5,2.5,284000.0,0,284000.0,1
LF,Weston Averbakh,Austin,MLB,MLB,USA,08/30/2042,25,2.5,3.0,284000.0,0,284000.0,1
RP,Sancho Ayala,Seattle,MLB,MLB,PUR,12/28/2041,26,2.5,2.5,284000.0,0,284000.0,1
2B,Randy Bahtiyar,Milwaukee,MLB,MLB,USA,10/15/2040,27,3.0,4.0,284000.0,0,284000.0,1
RP,Emmett Balin,Chicago,MLB,MLB,USA,01/20/2042,26,1.5,2.5,284000.0,0,284000.0,1
CF,Owen Ball,Boise,MLB,MLB,CAN,08/25/2040,27,2.5,2.5,284000.0,0,284000.0,1
RP,Martí Banda,Milwaukee,MLB,MLB,PUR,08/24/2040,27,2.5,3.0,284000.0,0,284000.0,1
1B,Jameson Barber,Vancouver,MLB,MLB,USA,08/17/2042,25,3.5,5.0,284000.0,0,284000.0,1
LF,J.B. Barbo,Albuquerque,MLB,MLB,USA,09/09/2041,26,2.0,3.5,284000.0,0,284000.0,1
1B,Pedro Barilla,Portland,MLB,MLB,PUR,06/29/2043,24,2.0,4.0,284000.0,0,284000.0,1
RP,Michael C. Barnes,Vancouver,MLB,MLB,USA,09/22/2041,26,3.0,4.0,284000.0,0,284000.0,1
LF,Adam Barraza,Detroit,MLB,MLB,PUR,08/04/2044,23,1.5,3.0,284000.0,0,284000.0,1
RP,J.D. Barroso,Philadelphia,MLB,MLB,USA,01/14/2042,26,2.5,4.5,284000.0,0,284000.0,1
1B,Christian Barthel,New Orleans,MLB,MLB,USA,10/26/2042,25,2.5,2.5,284000.0,0,284000.0,1
LF,Hunter Beauvais,Toronto,MLB,MLB,USA,11/04/2042,25,2.0,2.5,284000.0,0,284000.0,1
RF,Kirwin Bellmore,Toronto,MLB,MLB,USA,04/29/2043,24,2.0,3.0,284000.0,0,284000.0,1
RF,Jasper Belue,Montreal,MLB,MLB,USA,12/29/2038,29,2.5,3.0,284000.0,0,284000.0,1
2B,Will Benitez,San Francisco,MLB,MLB,PUR,06/18/2042,25,2.5,2.5,284000.0,0,284000.0,1
RP,Kevin Benton,Arizona,MLB,MLB,USA,04/20/2040,27,3.0,3.0,284000.0,0,284000.0,1
1B,D.J. Bergfield,Vancouver,MLB,MLB,USA,04/10/2043,24,4.5,5.0,284000.0,0,284000.0,1
LF,Osman Betancourt,Oakland,MLB,MLB,MEX,06/04/2041,26,3.0,3.5,284000.0,0,284000.0,1
RP,Jackson Bienvenu,Miami,MLB,MLB,USA,04/07/2042,25,2.5,3.0,284000.0,0,284000.0,1
C,Jeff Black,Miami,MLB,MLB,CAN,01/15/2043,25,1.5,3.0,284000.0,0,284000.0,1
3B,Edmund Blackman,San Francisco,MLB,MLB,USA,03/12/2042,25,1.5,2.5,284000.0,0,284000.0,1
RP,Borden Blow,Baltimore,MLB,MLB,USA,08/09/2041,26,2.5,2.5,284000.0,0,284000.0,1
CF,Gabe Bolling,Houston,MLB,MLB,USA,10/06/2042,25,3.5,4.0,284000.0,0,284000.0,1
CF,Rick Bonillas,Salt Lake,MLB,MLB,USA,03/10/2041,26,2.5,3.0,284000.0,0,284000.0,1
CL,Randall Boone,Detroit,MLB,MLB,USA,01/13/2044,24,5.0,5.0,284000.0,0,284000.0,1
SS,Danny Bordonaro,Los Angeles,MLB,MLB,CAN,10/02/2042,25,2.5,2.5,284000.0,0,284000.0,1
2B,Luc Bouchard,Milwaukee,MLB,MLB,CAN,07/26/2037,30,2.5,2.5,284000.0,0,284000.0,1
3B,Zawnte Bowser,Albuquerque,MLB,MLB,USA,12/26/2041,26,2.5,2.5,284000.0,0,284000.0,1
C,Jaiden Boyton,Atlanta,MLB,MLB,CAN,08/27/2042,25,2.0,3.0,284000.0,0,284000.0,1
SP,Joel Brodie,Houston,MLB,MLB,USA,10/19/2041,26,3.0,4.5,284000.0,0,284000.0,1
RP,Charlie Bronson,New Orleans,MLB,MLB,USA,12/01/2038,29,2.5,2.5,284000.0,0,284000.0,1
SP,Gaston Brown,Tampa Bay,MLB,MLB,USA,04/24/2042,25,4.0,5.0,284000.0,0,284000.0,1
RP,Jessey Brown,Vancouver,MLB,MLB,USA,08/30/2038,29,3.0,3.0,284000.0,0,284000.0,1
CL,Isaac Bruno,Boston,MLB,MLB,USA,09/23/2041,26,3.5,3.5,284000.0,0,284000.0,1
RP,Terrence Bruno,Albuquerque,MLB,MLB,USA,06/19/2042,25,2.5,4.5,284000.0,0,284000.0,1
2B,Chase Bryant,Seattle,MLB,MLB,USA,06/14/2041,26,2.5,3.5,284000.0,0,284000.0,1
C,Mitchel Buchanan,Omaha,MLB,MLB,CAN,10/19/2042,25,3.0,3.0,284000.0,0,284000.0,1
SP,Blake Buchholtz,St. Louis,MLB,MLB,USA,01/18/2043,25,2.5,3.5,284000.0,0,284000.0,1
2B,JAXSON BUNNELL,Toronto,MLB,MLB,USA,08/01/2039,28,2.5,3.0,284000.0,0,284000.0,1
C,Calvert Burek,Albuquerque,MLB,MLB,USA,05/12/2044,23,2.0,3.5,284000.0,0,284000.0,1
C,Henry Burt,Houston,MLB,MLB,USA,02/28/2044,23,2.0,4.5,284000.0,0,284000.0,1
SP,Bob Bustamante,Seattle,MLB,MLB,USA,11/01/2041,26,2.5,3.5,284000.0,0,284000.0,1
C,Phil Butterfield,Atlanta,MLB,MLB,USA,01/06/2041,27,4.5,5.0,284000.0,0,284000.0,1
SS,Nick Byrns,Oakland,MLB,MLB,CAN,07/24/2042,25,2.0,4.0,284000.0,0,284000.0,1
SP,Gabriel Bédard,Los Angeles,MLB,MLB,CAN,05/08/2043,24,2.5,3.5,284000.0,0,284000.0,1
C,Franco Caballero,Cleveland,MLB,MLB,PUR,10/27/2040,27,3.0,3.5,284000.0,0,284000.0,1
RF,Victor Cabrera,Detroit,MLB,MLB,CUB,12/07/2042,25,2.0,3.5,284000.0,0,284000.0,1
2B,Luke Caglieris,Tampa Bay,MLB,MLB,USA,07/12/2042,25,2.0,2.5,284000.0,0,284000.0,1
RP,Grant Calhoun,Portland,MLB,MLB,USA,10/24/2043,24,2.5,2.5,284000.0,0,284000.0,1
RF,Eli Cangelosi,San Diego,MLB,MLB,USA,07/26/2040,27,2.5,4.0,284000.0,0,284000.0,1
3B,Alfons Cantu,Atlanta,MLB,MLB,USA,01/05/2043,25,3.0,4.5,284000.0,0,284000.0,1
